pairID,sentence1,sentence2,gold_label
109260216.jpg#0r1c,"A person climbs a tall, flat mountain while holding onto a safety rope.",Nobody is climbing,contradiction
2193223637.jpg#1r1n,Woman walking in the rain and unicycle standing next to a pole.,A woman is going home in the rain.,neutral
8173029395.jpg#0r1e,A standing audience of revelers watches the performance of a musical act in a small indoor venue.,An audience is watching a musical performer.,entailment
4532277525.jpg#3r2e,Man in black prepares to celebrate his birthday by blowing out the candles on his cake.,There is a person next to a cake,entailment
5730444205.jpg#4r1c,Women with cowboy hats ride on brown horses.,the horses are alone,contradiction
2331827016.jpg#0r1e,An equestrian rider in uniform jumps their white horse over a fence.,A person is riding a horse.,entailment
2322797357.jpg#2r3c,A guitar band is playing on stage.,A guitar band is running.,contradiction
4725459622.jpg#4r1n,A line of horse riders are riding in a field.,The horses are in a race.,neutral
3246621383.jpg#0r2c,There are several people walking towards a house with a big tree next to it out in a field.,The people are walking towards a hospital.,contradiction
3694164936.jpg#0r1e,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,entailment
3374444564.jpg#4r1c,Two people strolling behind a school bus.,The two people are sitting on a couch watching TV.,contradiction
4970493577.jpg#0r1e,A worker wearing a hazard cone on his head and holding a flare being photographed by two photographers as he leads a parade.,There are people watching the parade.,entailment
3111897772.jpg#4r2e,A group of girls in dresses dancing.,girls are dancing,entailment
6943166220.jpg#4r1c,A man sprinkling the corn on the ground.,A man is building a fence around a pasture,contradiction
4107496324.jpg#4r2e,A chef preparing caramel kettle corn.,A cook is making food.,entailment
1468182643.jpg#3r1c,An African woman carries a parcel on her head.,The an balances a box on his head.,contradiction
3601305072.jpg#0r3c,"A male Equestrian rider leans forward as his horse stretches out for the 2nd jump of the course, as the crowd looks on with amazement",A young girl rides her horse for the first time,contradiction
55438559.jpg#3r1c,Young girls running in a race.,Boys are running in a race.,contradiction
209605542.jpg#4r1n,Man climbing a sheet rock face.,Man climbing a sheet rock face and his hands are dirty.,neutral
3297272270.jpg#2r1n,Men wearing tutus sing and play guitars on stage.,Men wearing tutus sing and play.,neutral
4511956396.jpg#1r1e,A man in a red uniform standing outside of Broad St Station talking on a cellphone.,A man is standing outside Broad St Station talking on the phone.,entailment
6948564341.jpg#1r1n,Hockey players playing hocking during a game.,The hockey players have been playing for 30 minutes.,neutral
240101066.jpg#0r1e,Chairs are lined up with a passage leading to a marriage gate on a sandy beach.,There are some chairs setup in preperation for a wedding.,entailment
4824563064.jpg#2r1n,Three people in white uniforms are playing a ballgame in a grassy field.,People are playing cricket in a field.,neutral
1182733666.jpg#0r3e,"Four men, one in a long blue robe, looking like they are doing laundry in a muddy pit in a 3rd world country.",A man in a blue robe and three other men are surrounded by mud while they work.,entailment
1345459258.jpg#4r1n,A young man chopping tomatoes.,A man is cutting up tomatoes.,neutral
1398766312.jpg#0r3e,"A person is sitting behind a old, black Singer sewing machine with a note taped to their dress.",The person is a woman.,entailment
3109124656.jpg#1r1e,A couple sits on a floral couch while an older woman in the background smiles.,A woman smiles on as a couple perches together on a couch.,entailment
3707077198.jpg#4r1c,The skateboarder jumps over the ramp.,rollerbladers burn down local animal shelter,contradiction
4338039834.jpg#3r1c,A skier wearing yellow and black is airborne.,The woman is preparing to begin skiing.,contradiction
1235099089.jpg#2r1e,A young woman running by an orange ribbon.,A girl runs.,entailment
111537217.jpg#1r2n,"Man with red shoes, white shirt and gray pants climbing.",A man outdoors,neutral
5620724486.jpg#0r1n,A young lady with wild blond-hair is playing the electric guitar on the stage.,A lady is performing with her band.,neutral
3475756130.jpg#0r1c,A man and woman are in the kitchen and a package of Challenge butter is in the foreground.,A man and woman are not in the kitchen,contradiction
432639190.jpg#0r1c,"An old Indian woman who looks to be sitting on the floor in her home, enjoying a phone call.",A woman takes a nap on the floor.,contradiction
