pairID,sentence1,sentence2,gold_label
11,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,neutral
10,A woman wearing a green shirt stands on the railroad tracks.,The woman is wearing a green shirt.,entailment
15,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,entailment
17,A blond woman speaking to another person with their arms crossed.,A woman is talking to another woman.,neutral
24,Students are inside of a lecture hall.,Students are indoors.,entailment
21,Students are inside of a lecture hall.,Students are on the soccer field.,contradiction
25,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,entailment
29,A woman in a red polka-dot dress sings into a mic.,A woman is wearing pants.,contradiction
33,Men playing a game in the park.,some men play for money,neutral
31,Men playing a game in the park.,Some women are playing a game.,contradiction
44,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,contradiction
42,A woman and a young child are making sculptures out of clay.,A boy and woman make something.,neutral
48,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,contradiction
45,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is pouring orange juice outside a tent.,neutral
54,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,neutral
53,A football player wearing a number ten jersey is catching a football with both hands.,A sports player is catching a football.,entailment
59,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,contradiction
58,"The back of a woman wearing blue jeans, sandals, and a shirt.",Someone in sandals walks away.,entailment
61,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,neutral
60,A few kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,entailment
65,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,contradiction
67,A young lady is dressed in a top with black leotards and is in a dance pose after being exhausted from weightlifting.,The young lady is taking a break from exercising,entailment
74,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,neutral
71,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three people are in snow,entailment
76,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,contradiction
77,Recked ambulance being towed by a large tow truck.,The white ambulance was towed.,neutral
80,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,entailment
82,A man in a blue shirt is building a bank at the beach.,A man in a blue shirt is building a sand castle at the beach,contradiction
87,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,neutral
86,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are smiling.,contradiction
94,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,contradiction
90,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two horse racing jockeys are racing against a blurry background.,entailment
96,Several man in black tops play the guitar.,People are playing music.,entailment
95,Several man in black tops sit silently.,People are playing music.,contradiction
100,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,neutral
103,A person performs song in the subway.,A band is on stage performing.,contradiction
109,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,contradiction
105,A person wearing a white helmet races in a black race car.,A person wearing a helmet races in a new race car.,neutral
110,Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,entailment
111,Two brown dog grapple each other in a sandy area.,Two dogs are playing with each other somewhere.,neutral
116,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,contradiction
115,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,The woman is wearing a red hat.,entailment
124,A nude woman submerges herself in a natural pool.,A man jumps in the river.,contradiction
121,A nude woman submerges herself in a natural pool.,The naked woman fell into the pool on accident.,neutral
126,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,neutral
125,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is studying a painting of a mountain scene.,contradiction
139,A musician holding a guitar videotapes some action.,A woman is playing the piano.,contradiction
137,A musician playing the piano videotapes some action.,A woman is playing the piano.,entailment
140,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,entailment
141,Children ride a live pony in a park.,Kids are on amusement park rides,contradiction
146,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,neutral
145,A young girl wearing sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,entailment
154,A wolf moves over the snow.,The wolf is old.,neutral
152,An old wolf goes over the snow.,The wolf is old.,entailment
158,A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,contradiction
159,A woman in a pink turtleneck tries to fix her camera.,The camera is broke.,entailment
160,A soccer player in green runs down the field.,The player in green is plaing a sport.,entailment
162,A soccer player in green runs down the field.,The player in green is playing a violin.,contradiction
169,A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,contradiction
166,A man holding the Texas flag is nearly blown off his feet on a city street.,The latino man is holding the flag.,neutral
172,People on stilts in a parade.,Some people are performing in a parade.,entailment
173,Monkeys on stilts are performing in a parade.,Some people are performing in a parade.,contradiction
175,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,entailment
177,"A middle-aged couple is watching tv, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,contradiction
180,Bearded man playing the bass.,A man with a mustache is playing the piano.,contradiction
183,Bearded man playing a stringed instrument.,A man with a mustache is playing the piano.,entailment
194,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,entailment
191,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,An experienced worker is observing large construction equipment in motion.,neutral
199,Two men during a football game,Two men are at a football game.,entailment
197,Two men during a football game,Two men are at a Bears game.,neutral
205,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,entailment
208,"A choir consisting of adults dressed in blue, newer members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,contradiction
211,A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,entailment
210,A lady with kind eyes and long brown hair is holding an ax by a tree.,Several ladies were standing near the trees.,neutral
219,"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,entailment
217,"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of well lit area.,contradiction
224,"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,neutral
221,"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A man is watching another man in a crowd.,entailment
227,Three people are standing at a carnival game.,People are at a carnival.,entailment
228,Three people are standing at  a football game.,People are at a carnival.,contradiction
233,A person rides a skateboard off of a wooden bench.,a person riding a bike,contradiction
231,A person rides a bike off of a bench.,a person riding a bike,entailment
239,A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,contradiction
236,The driver of a blue delivery truck is sleeping in front of a white building on a street corner.,A person is sleeping.,entailment
244,A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,contradiction
241,A person wearing black and white gear is sledding down a hill.,A child is sledding in the snow.,neutral
245,A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,contradiction
247,A person is riding a bucking animal in front of a crowd.,A person is riding an animal in front of a crowd at night.,neutral
256,A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,entailment
258,A girl in purple doing the hurdles at a track event.,The girl competing in the long jump.,contradiction
264,A man walks through a pathway.,A man walks through the pathway,entailment
261,A man runs through a forest. ,A man walks through the pathway,contradiction
269,A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,contradiction
266,A guy is practicing on a punching bag at his home because there is none at the gym. ,There is no punching bag in the gym.,entailment
