pairID,sentence1,sentence2,gold_label
5,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,neutral
7,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear while the men watch.,The woman is watching.,contradiction
11,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,neutral
13,A woman wearing a green shirt stands on the railroad tracks and waves on the railroad employee in the booth. ,A railroad employee stands on the train tracks.,contradiction
25,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,entailment
27,A tall woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,neutral
38,Three children are playing together in some water.,Three children are playing in water.,entailment
35,Three children are playing together in some water.,Three smart children are playing in water.,neutral
87,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,neutral
88,An older man and woman sitting on a cement bench with frowns on their faces are arguing about their kids.,The man and woman are arguing about money,contradiction
96,Several man in black tops play the guitar.,People are playing music.,entailment
97,Several man in black tops play the guitar.,People are playing rock music.,neutral
100,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,neutral
101,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing without any instruments.,contradiction
133,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,entailment
132,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee to his friend.,neutral
140,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,entailment
143,Children ride a balloon ride in an amusement park.,Kids are on expensive amusement park rides,neutral
154,A wolf moves over the snow.,The wolf is old.,neutral
151,A baby wolf moves over the snow.,The wolf is old.,contradiction
172,People on stilts in a parade.,Some people are performing in a parade.,entailment
171,People on stilts in a parade.,Some fat people are performing in a parade.,neutral
175,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,entailment
178,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together celebrating their anniversary.,neutral
180,Bearded man playing the bass.,A man with a mustache is playing the piano.,contradiction
181,Bearded man playing the bass in a band.,A man with a mustache is playing the piano.,neutral
203,two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,entailment
204,two men each wearing jackets leaning on a railing near a snowy road,Two men wearing hats stand outdoors.,neutral
205,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,entailment
206,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings Christmas songs.,neutral
224,"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,neutral
222,"A young man on rollerskates gifted by his girlfriend, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,contradiction
233,A person rides a skateboard off of a wooden bench.,a person riding a bike,contradiction
230,A person rides a skateboard off of a wooden bench.,a person riding a wooden skateboard,neutral
252,A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,neutral
250,A man is jumping off the grass into the fire while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,contradiction
264,A man walks through a pathway.,A man walks through the pathway,entailment
262,A man walks through a pathway.,A man walks through the narrow pathway.,neutral
278,"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,entailment
275,"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping for an Ipad.,neutral
283,Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,neutral
281,Two women in a whirlpool with towels on the heads laughing despite their sadness.,Two sad women in a whirlpool with towels on the heads laughing.,entailment
319,The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,entailment
316,The opposing tall basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,neutral
322,Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,entailment
321,Men at opposite ends of the street waiting to cross.,there are some people outside in this picture at the crosswalk.,neutral
325,Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,neutral
329,Two crying men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,entailment
331,A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,entailment
334,A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a fun conversation.,neutral
335,a woman cleaning pots in a body of water.,boy washing fruit in a stream,contradiction
339,a woman cleaning pots in a body of water as her son washes produce nearby.,boy washing fruit in a stream,neutral
355,Man in plaid shirt scaling rocks.,A woman is skiing.,contradiction
356,Man in plaid shirt scaling snowy rocks by a woman using poles.,A woman is skiing.,neutral
384,"A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.","A person has on a helmet, a shirt, and is outside using a skateboard.",entailment
381,"A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.","A person has on a helmet, a yellow shirt, and is outside using a skateboard.",neutral
415,A man in a black shirt plays the guitar surrounded by drinks.,The man is skilled at playing,neutral
418,A man in a black shirt plays the guitar horribly surrounded by drinks. ,The man is skilled at playing,contradiction
420,A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A woman is dancing in a parade.,entailment
423,A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A woman is dancing in a holiday parade.,neutral
428,"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.",Boys are playing videogames,contradiction
426,"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.",Boys are playing an unofficiated match,neutral
435,A shaven head young man wears headphones and works with a mixing board.,The man is listening to metal,neutral
437,A shaven head young man wears headphones with metal music playing and works with a mixing board.,The man is listening to metal,entailment
441,A black and white dog runs on soft green grass.,An animal is outside running,entailment
440,A black and white dog runs on soft green grass.,An animal is outside running to his owner.,neutral
458,A woman in a brown sweater is sewing on her machine.,The woman is wearing a sweater.,entailment
459,A woman in a brown sweater is sewing on her machine.,The woman is wearing a cashmere sweater.,neutral
460,"A woman in a black dress, stands alone, looking out to a city.","A woman in a black dress, stands alone, looking out to a big city.",neutral
463,"A woman in a black dress, stands alone, looking out the window to a big city.","A woman in a black dress, stands alone, looking out to a big city.",entailment
512,"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.",the kid lounges outside,entailment
510,"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.",the kid lounges outside on a chair,contradiction
536,A man playing guitar in a purple shirt.,man plays guitar,entailment
539,A man playing guitar in a purple shirt.,man plays electric guitar,neutral
554,A man sitting on a boat with a flag and the sunset in the background.,A girl swings in the park.,contradiction
552,A girl is at the park looking at a picture of a man sitting on a boat with a flag and the sunset in the background. ,A girl swings in the park.,neutral
563,two people waiting on the corner.,Two people are waiting to cross the street.,neutral
561,two people waiting on the corner to cross the street.,Two people are waiting to cross the street.,entailment
575,"A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.",He is happy,neutral
577,"A boy wearing shorts, crocs, and a white shirt plays happily with a yo-yo while another boy looks at his yo-yo in the background.",He is happy,entailment
590,A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.,The man is working on a laptop computer.,neutral
593,A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project with his Sony laptop.,The man is working on a laptop computer.,entailment
598,"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.",Three women are in the room.,entailment
595,"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.",Three women are sitting in the room.,neutral
607,Two boys are playing ball in an alley.,The boys are dancing.,contradiction
606,Two boys are playing ball while performing choreographed moves in an alley.,The boys are dancing.,neutral
624,Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,entailment
621,Short man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,neutral
645,The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a necklace and no jewelry you can see.,entailment
646,The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a black necklace and no jewelry you can see.,neutral
665,Two men are sitting on crates in a market.,Two men are relaxing.,entailment
667,Two men are sitting on crates in a market.,Two men are relaxing in the summer.,neutral
691,Three men draping a rope across a road.,The men put rope across the road to hang up the sign.,neutral
690,Three men draping a rope across a road to hang up a sign.,The men put rope across the road to hang up the sign.,entailment
699,A bicycle is parked in front of a shop that has a large orange sign.,A bike is chained to the bike rack outside of the shop.,neutral
696,A bicycle is parked and chained to a rack in front of a shop that has a large orange sign.,A bike is chained to the bike rack outside of the shop.,entailment
702,The skier in the green jacket and white pants appears to almost fly into the sky.,an american having a family time,contradiction
703,The US skier in the green jacket and white pants appears to almost fly into the sky as his family laughs joyfully.,an american having a family time,entailment
754,A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is bowling a perfect game.,neutral
