pairID,sentence1,sentence2,gold_label
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,neutral
2,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his car with his son.,contradiction
15,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,entailment
16,A blond man speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,contradiction
24,Students are inside of a lecture hall.,Students are indoors.,entailment
20,Students are outside for a lecture hall.,Students are indoors.,contradiction
25,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,entailment
26,A man in a pink polka-dot dress sings into a mic.,A woman is wearing a dress.,contradiction
33,Men playing a game in the park.,some men play for money,neutral
32,Men playing a game at the park.,some men play for money,entailment
38,Three children are playing together in some water.,Three children are playing in water.,entailment
36,Three children are playing together at the park.,Three children are playing in water.,contradiction
48,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,contradiction
49,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is pouring outside a tent.,entailment
74,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,neutral
70,Four people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,contradiction
76,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,contradiction
75,Recked vehicle being towed by a large tow truck.,The firetruck was towed.,neutral
96,Several man in black tops play the guitar.,People are playing music.,entailment
98,Several man in black tops play the guitar.,People are playing baseball.,contradiction
109,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,contradiction
106,A person wearing a dark helmet races in a black race car.,A person wearing a black helmet races in their car.,neutral
126,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,neutral
128,"A person dressed in a blue coat is standing in on a busy sidewalk, purchasing painting of a street scene.",A person is buying a painting of a street scene,entailment
133,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,entailment
131,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a ball.,contradiction
139,A musician holding a guitar videotapes some action.,A woman is playing the piano.,contradiction
138,A musician holding a guitar videotapes some action.,A woman is holding a guitar.,neutral
146,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,neutral
147,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears shoes and walks on hopscotch numbers.,contradiction
154,A wolf moves over the snow.,The wolf is old.,neutral
150,A wolf moves over the snow.,The wolf is stationary.,contradiction
160,A soccer player in green runs down the field.,The player in green is plaing a sport.,entailment
161,A soccer player in red runs down the field.,The player in green is plaing a sport.,contradiction
172,People on stilts in a parade.,Some people are performing in a parade.,entailment
170,People on stilts in a parade.,A child is performing in a play.,contradiction
175,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,entailment
179,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is swimming together.,contradiction
180,Bearded man playing the bass.,A man with a mustache is playing the piano.,contradiction
182,Bearded man playing the bass.,A man with a mustache is playing the bass.,neutral
189,A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,contradiction
186,A person dressed in black shoveling a path to the road from the stairs.,The person shoveling a path from the stairs.,entailment
194,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,entailment
192,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is ignoring large construction equipment in motion.,contradiction
199,Two men during a football game,Two men are at a football game.,entailment
196,Two men during a football game,Two men are at a baseball game.,contradiction
205,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,entailment
207,"A group consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,neutral
227,Three people are standing at a carnival game.,People are at a carnival.,entailment
225,Three people are standing at a carnival game.,People are at a funeral.,contradiction
233,A person rides a skateboard off of a wooden bench.,a person riding a bike,contradiction
234,A person rides a skateboard off of a wooden bench.,a person riding a skateboard,entailment
245,A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,contradiction
246,A person is riding a bucking animal in front of a crowd.,A person is riding an animal in front of a crowd.,entailment
